"Name","BM1014.1","BM1126.1","BM1284.5","BM374.4","BM943.1","X4959BM1","BM1072.1","BM1284.1","BM374.1","BM911.1","BM943.4"
"ELK4",11.3742638748289,11.3928363583001,11.2396345353177,12.1044109679012,11.2408353068635,11.8452568082845,11.3837053393995,11.3742638748289,11.3443460939643,11.7411943186607,11.3368382985688
"SLC45A3",3.98159513663629,1.36537395585566,4.28847115298629,4.64311283723094,1.06538067477591,4.94248414977789,0.579459196685115,3.98159513663629,4.88345474040772,2.87101247985301,3.35335787590344
"CCAR2",11.1664827573624,11.4713647150405,10.7454955363731,10.8501912978017,11.4031486101757,11.8960447604315,11.513523062657,11.1664827573624,10.86621575851,11.6104935543575,10.8388769641167
"RUNX1",12.793750359348,12.4303198568232,12.57136857033,13.3660563272808,12.0693706486411,11.6373420216215,12.0370328734462,12.793750359348,12.8792280626556,11.7588098246138,12.1640208785314
"ACE",0.235687852306312,1.59999517756696,2.64118739156455,6.18067775211873,2.55976857852912,4.72784929800019,0.62283760325777,0.235687852306312,4.29446489265228,3.57877149565138,1.47809272248718
"TAOK1",11.521175614393,11.2776277900812,11.549885348957,11.3037677963927,11.365055266955,10.9137628555443,11.1965390000114,11.521175614393,11.5480766468361,11.0685312806162,11.72466568452
"SIK3",9.14444908277057,8.8982873913571,9.13127199249223,9.05029124463051,9.51968415777842,11.2549890988189,9.61405657493932,9.14444908277057,9.27969230282734,10.3748097627411,8.35299595229771
"FGFR4",5.70941286806648,5.72023919559069,4.37315769515597,5.14826896151645,4.69545526230134,4.25529859061423,5.20204265831664,5.70941286806648,5.58016285456011,3.6204374415658,5.74998998541827
"SQSTM1",10.2326907590675,10.0707840103978,10.232855554232,9.47343318031459,9.76125361764125,11.1968399518246,9.88836306692818,10.2326907590675,9.53617650343948,10.2626325625935,9.35579534285099
"TAL1",7.13562557915098,1.53202464993138,6.02854053227322,4.6035357898509,1.41955021729956,6.01511995971043,2.21438906795556,7.13562557915098,7.25227784885354,5.45660871775299,4.03237507025551
"JAK1",11.1834971912167,10.6435098021995,11.3551173664025,11.8434379010729,11.5155987268489,11.8646335247484,11.8862143230131,11.1834971912167,11.5137697971255,11.6881354297483,11.2766820788645
"RBM15",9.78708604368736,9.66019052721584,10.1200780287645,8.3308836016561,9.46568404597779,9.8620941495816,9.73033442576001,9.78708604368736,9.22632385090427,9.84117957093242,9.4186413373755
"HIPK1",11.2657921419594,11.6412279818479,11.3767177148879,10.0194131019277,11.4524829066201,11.806984353833,11.5543188146152,11.2657921419594,10.5841680229698,11.3200621422565,11.2566105634949
"COL6A3",4.60907747623829,0.642912243060382,2.9580974769534,8.56286483193556,2.01411458565574,4.23358700725559,3.0747431257944,4.60907747623829,2.99596654270484,4.77449179732987,3.03306948693084
"FEV","-Inf","-Inf","-Inf","-Inf","-Inf",-0.764956774249074,"-Inf","-Inf","-Inf","-Inf","-Inf"
"FCRL4",0.274091062733942,-2.6741254774198,-2.74746807741518,-1.69115919950242,-0.124246668313433,-0.02591127235414,-1.84267683519191,0.274091062733942,-2.3557117589074,0.691065994721893,-3.4353233232271
"MEAF6",10.6135189020202,10.3655569512314,10.9012211701902,10.5131460223193,10.9368916808563,11.1474583163979,10.7278237405657,10.6135189020202,10.6137411301567,10.8212938162058,10.9307699190434
"RPN1",11.0098516072511,10.9593817926439,11.1894981857064,11.0984220350847,10.6424296295212,11.7613632692813,10.6094967388411,11.0098516072511,10.6741973634813,11.6674046624268,10.8317679442274
