"Name","BM1075","BM1077","BM1078","BM1079","BM1092","BM1115","BM1116","BM1141","BM1146","BM1152","BM1153","BM1158","BM1161","BM1170","BM1179","BM1181","BM1182","BM1186","BM1189","BM1206","BM1260","BM1277","BM1284.1","BM1284.5","BM1292","BM1314","BM1324","BM1495","BM1471","BM1489","BM1490","BM1498","BM1500","BM1501","BM1503","BM1505","BM1507","BM1519","BM1523","BM1526","BM1532","BM770","BM810","BM821"
"CPS1",0.342876699059208,1.44092190908652,6.23530289951849,3.79990936653738,5.67423789684867,1.53436794332362,-0.158630645484599,0.632605115259718,-0.206283867439433,0.784679022100726,3.98367204063563,2.07606306207,3.90835236286532,1.73290388911039,1.13602334650553,2.11757636448682,5.43134485644979,1.58197736386877,1.49598213830631,1.98699954396456,5.72710450231295,2.7193558525022,1.11814706061894,1.91081745611418,2.71914509955742,1.82341758381068,1.66005010393212,2.65091295610178,1.15265980300858,0.009003120498035,3.89059367859769,3.56474519812694,-0.149803859111326,2.45309030438331,0.939911836175008,3.01171979018444,-0.11886949202896,0.648797661813006,1.42249244713267,3.12751178450151,0.748176959725877,0.62756948631821,6.27671225353105,5.15378373601687
"CD44",12.2742007863735,12.1290027542634,13.2033835567453,12.4648142302462,9.98460714613071,13.6279010316819,11.9606697565058,13.0413412280309,12.0877222762825,12.7021492112879,11.3685740996206,11.2444073204812,9.81777649735129,12.4483923188727,10.7505392051865,13.3648614242499,13.3194331293871,12.1272165019323,12.8426899420242,12.9437740662564,13.6431298097135,14.7516332365812,9.95802299106764,9.78627391161311,14.5071910239416,14.4900238002529,14.7507893649102,14.1575419362277,12.894794713911,9.87922391407162,12.8892761648332,6.65681239026517,12.0955886870644,8.48177683666494,12.2712759530305,8.23030293122004,10.459031020469,11.7583374646531,12.8748213486648,9.72184627195553,12.4466874575253,9.99832181384657,10.7732291942834,13.0012735044304
"IKZF2",11.2157144639591,8.68861376304118,9.12708646546388,10.5969440790952,8.05935329274117,11.698681639455,4.55261555351644,13.1432396591697,6.69662603640744,6.61072936510396,4.94342904827283,11.0505392941218,7.62773427202232,6.91388158109344,10.9789820998709,8.35234223913608,9.77459034394429,5.48533855600765,7.86155859325916,8.57869404160111,9.71158320879195,7.13319206737991,7.8294097155759,8.76458758401813,6.43810291972096,8.9590864805408,7.74329898924753,3.80883529483926,4.83460650842263,8.90756124481002,6.76039219644793,7.65283465007879,6.32035968235698,8.71767147471672,4.93789655051213,6.32435178728289,7.72198164984217,8.46734167577658,11.3413902775601,7.62277381382197,5.76309235084543,9.54565728919089,6.73984426918571,8.64577654485306
"PIAS1",10.8128617276154,11.4177130439328,10.9005561536925,11.2248981723004,11.1465060192865,10.9340342321331,10.920696181191,11.1806399874429,11.1566310724026,12.0645373011191,11.4563111967597,11.4770244658891,11.3001805947887,9.71156879469719,11.3716308725109,11.3101611906081,11.6834189917045,11.1341566747018,11.0342188378515,11.8913024712618,11.0514621959691,11.1900894809288,11.1970529496052,11.578349554272,10.7875516088842,11.039890831952,11.2220440527587,10.52359582861,10.9804044257091,11.3634606210718,11.1227025958688,11.1849351199372,11.2812843181623,11.022576503886,11.1888036287137,11.7883268643491,11.3538555126669,11.4733339069157,11.4021899204375,11.3795838996478,10.8346926257118,11.3551589496891,11.1310418140432,11.2338991874229
"OTC",0,0,0,0,0,0,0,0,0,0,0,0,0.139647610711919,0,0,0,3.21875172472769,0,1.54342857258435,0,0,0,0.001209913651473,1.12958042878468,0,0,0,0,0,0,0,0,0,5.94073521069863,0.080776348268,0.30929262305752,0,0.302321390847662,0,3.04555427905693,0,2.37585878847021,0,0
"FLT4",4.85520531758961,11.2966827173815,10.2696911990754,3.32082704279092,11.1476634446222,1.13638893927907,10.9741606545656,-0.986887960070776,9.62844641869536,11.202797467576,10.8626775758028,6.47657929927328,10.5133964693114,10.5752733098051,7.54947663170435,10.5800427134321,5.39999189734655,10.4166597842861,11.2409444184258,3.10053064568344,4.37835479100423,6.58609671937561,10.3022139046836,8.00887052331136,6.14930469292581,3.39200617927747,9.4694776458889,0.602613655355314,10.4384125079975,6.52954796405121,9.67202098240055,6.53950230227497,9.29541529421633,4.54711472023229,8.32168202677289,10.5607753794363,4.39487387912399,8.24485777786197,1.92670768386907,8.17189079627807,5.24579176977454,7.36699431858044,11.3894133360327,9.90790796498379
"USH2A",-0.327424399264252,0,-1.86987568377485,0,-0.483843617038735,-4.5491809587784,-2.71572278194487,0,-2.29147194408021,0,-3.69471349901776,-2.03468631841569,-0.217750811350995,-4.73116800679301,-0.699077375436565,-0.232511301325698,3.01307004357231,-1.18716829908285,0.144105120707159,-4.57075577012986,-2.68919456893683,-1.18462131569407,-2.48436424087285,-0.516132125459951,-0.488402422544608,-2.98829827659059,-2.47608882855989,-0.717633740212488,-0.392443844470649,0.615269383499263,1.46050039083691,0.496108471356084,0.130619899300887,-1.27740807309191,-1.43632249523749,0.20742561759564,0.575665699279913,-0.072237015954601,0,-1.05065482420763,-0.799181805694078,-0.630981400639044,0.028075439719309,-3.69176495687717
"ADRB1",4.99914977671804,3.4825808822491,-1.49077643616028,2.32558357718499,6.87896159899956,2.59331384829506,2.48193024084707,0.983047221423923,4.45255254063849,2.06528863869494,4.0025000968753,5.37780675004878,2.43409494902959,4.08516118057958,4.52535505211797,4.4243379068202,5.812480024671,4.05028436262097,4.0292639006788,2.85835525132056,2.18806315895739,5.12100312970998,1.90867996619936,0.983691556176749,1.14191339122134,7.06654960586004,6.30822508458915,1.32992209718539,5.66946376106005,1.18936345520175,1.69131528745902,0.552089782381958,1.45740832900893,-1.72383449246417,3.55509843206427,2.10570053603008,-0.077802151603633,1.36451024099443,0.760709782874092,1.43339482173383,-0.882251771396675,0.37735811596575,3.47172163997786,2.93182410527611
"CTNNA1",10.7206200523499,10.2141979779069,10.2253313045316,7.6004981527261,8.94078093114473,10.8701826210189,10.5600116946846,10.7276903178432,10.3386189034228,11.0374648909696,10.381551162843,10.7056814286565,10.9310860366429,10.9364127601625,10.5422063267907,10.1782047147595,10.9967018119337,10.924037508878,10.8613725344395,9.82712514498111,10.2717903308086,10.304931710248,10.6483665689381,9.75166972206142,10.4032244612936,10.2261194790491,10.4817171815796,10.306409946566,10.6032827757675,10.4692817568198,9.2226195643224,10.7143946476992,10.052430329344,10.4070427266381,10.8263058549971,10.3382033614848,10.1787013623054,11.1651919828439,9.26381278151272,10.7074344272349,9.97184540056129,10.8936355216102,10.2123524465368,10.3015419077998
"ROS1",-3.72699742507497,0,0,0,-2.94360514409091,0,0,0,-3.91641489841132,0,-3.5119704269856,0,-0.135364151331261,-3.55119206076415,-2.97355968566723,-0.186360392203449,2.80235598926404,0,0,0,0,0,0.564463044829798,-0.25022891380213,-3.39362220894797,0,0,-1.53360153685767,0,0.165196763646204,-2.26302978921705,0,-3.54339988969143,-1.48918792630495,0,-3.60793321573015,0,-3.34748688860772,0,-3.37747440991755,0,-3.97075209218455,-3.49009948468523,0
"HDAC9",9.2203577452604,7.27605201739801,8.71117330674812,3.61487341879368,7.94970150448697,9.50097056540121,8.05888921669201,9.41651736427727,9.296605225564,8.31806394980384,8.00799457170366,7.7252680115346,6.50151855489577,8.90834688916826,8.89741690588559,7.90311479071155,7.64184549739088,8.52506890659807,8.24124994566812,8.60390241108958,9.10492293696956,10.4621271568651,7.83702803204498,7.74563931574618,8.51321398009864,8.54202142915083,8.83847318049228,9.4304160970194,8.7840735181852,9.11533597378281,9.89918421972408,8.2053001127958,7.73336038798826,7.54522767068176,8.76003100129758,7.70507350173547,9.82016246867793,9.45905890228428,9.10629570109373,8.36056439357961,8.17545184574923,10.0919492803509,10.0957049169715,9.17741450474387
"RRM2B",8.565443054984,8.10159612528278,7.66421873928514,6.71034725995283,8.87532751912757,8.44013393651508,8.26570645724661,7.57063406634301,8.62237551438708,8.23723487003845,8.48645982381093,8.32103868783472,8.55857408617667,8.6945313832872,8.33831638244016,9.00473506968114,7.5721073170961,8.63361870638513,8.7170123015366,8.45474550787088,7.68924138167926,9.35575963183727,8.57871200276841,9.09690624161346,9.30747368612277,9.21808327591296,7.47193985760309,9.50391556184396,8.67140752588157,9.05453451072278,9.20489956940075,9.05589617981001,9.48774670571546,8.7454070620483,9.02519146236828,9.19849165386916,9.47401313063277,8.20924933657744,8.77018362924374,8.94660696385162,8.59491351015593,9.30540393267051,9.05212283869652,7.95833960420948
"ELN",1.34917898351474,-2.21853117039513,1.50444903835862,-1.88656086298155,-1.92343543235136,-0.652216438666987,0,0,0.550896725543058,0,1.9893726541682,0,2.04310368560685,-0.843952934638191,0,-0.786024446681793,4.25679819741472,0,-0.64618215531313,-0.362412009887877,3.33713646828762,5.5418274060443,3.15264309329091,1.07056724930818,-0.677109659950659,3.46298754180654,4.45211977295814,0.925421465476251,0,4.0801137364148,0,2.02874771001803,0,3.65887445588867,0,0,0,3.50969976849049,0,1.92391853945195,2.20317797275726,6.51744297943539,-1.93003942233823,0.344839856756189
